text,cleaned_text
T-Mobile customer service is terrible. Waiting on hold for 30 minutes!,tmobile customer service terrible waiting hold minutes
"Love T-Mobile coverage in my area, very reliable.",love tmobile coverage area reliable
My bill is way too high this month. Not happy.,bill way high month happy
"Great service, fast internet. Thank you T-Mobile!",great service fast internet thank tmobile
Dropped calls all the time. Coverage is awful.,dropped calls time coverage awful
"Customer support was helpful today, solved my issue quickly.",customer support helpful today solved issue quickly
Hidden fees on my bill again… very frustrated.,hidden fees bill frustrated
"Excellent network, no complaints.",excellent network complaints
"Slow internet speed in downtown area, disappointed.",slow internet speed downtown area disappointed
"T-Mobile made switching easy, very satisfied with service.",tmobile made switching easy satisfied service
